 # mass    139.578003      MeV
 # Ekin    45000.0000      MeV
 # path   0.260206014      um
 # mean dE/dx    373.898499      eV/um
 #         j      dE [eV]      dE*dE*dsig/ddE [eV*eV/cm]
 START
         195      14.6818056          475701.125    
         196      14.8416805          529917.062    
         197      15.0032959          590671.688    
         198      15.1666708          659365.438    
         199      15.3318253          735645.250    
         200      15.4987783          819408.812    
         201      15.6675491          910083.500    
         202      15.8381577          1006303.31    
         203      16.0106239          1105644.62    
         204      16.1849689          1204079.38    
         205      16.3612118          1295875.38    
         206      16.5393734          1375121.50    
         207      16.7194748          1436029.00    
         208      16.9015388          1474035.00    
         209      17.0855846          1486739.12    
         210      17.2716351          1474368.62    
         211      17.4597111          1439615.25    
         212      17.6498356          1386931.00    
         213      17.8420296          1321559.00    
         214      18.0363159          1248647.50    
         215      18.2327194          1172625.12    
         216      18.4312611          1096935.00    
         217      18.6319637          1024039.00    
         218      18.8348522          955576.062    
         219      19.0399513          892628.438    
         220      19.2472820          836066.312    
         221      19.4568710          787280.562    
         222      19.6687431          756216.750    
         223      19.8829212          699363.875    
         224      20.0994320          596978.062    
         225      20.3183002          538168.625    
         226      20.5395527          486160.250    
         227      20.7632141          454728.188    
         228      20.9893112          424239.719    
         229      21.2178707          386711.312    
         230      21.4489174          349237.531    
         231      21.6824818          323492.938    
         232      21.9185886          301252.031    
         233      22.1572666          283418.250    
         234      22.3985443          267924.344    
         235      22.6424484          254169.906    
         236      22.8890095          241667.094    
         237      23.1382542          230492.875    
         238      23.3902130          220376.812    
         239      23.6449165          211266.406    
         240      23.9023933          202910.031    
         241      24.1626740          195395.750    
         242      24.4257889          188379.062    
         243      24.6917686          181997.562    
         244      24.9606438          175851.812    
         245      25.2324467          170324.953    
         246      25.5072098          164925.062    
         247      25.7849655          161044.938    
         248      26.0657463          157281.938    
         249      26.3495846          153946.031    
         250      26.6365128          150860.875    
         251      26.9265652          148055.750    
         252      27.2197762          145498.484    
         253      27.5161800          143039.203    
         254      27.8158112          140998.938    
         255      28.1187057          139057.078    
         256      28.4248981          137277.828    
         257      28.7344246          135658.531    
         258      29.0473213          134109.297    
         259      29.3636265          132700.688    
         260      29.6833763          131352.109    
         261      30.0066071          130052.203    
         262      30.3333569          129045.844    
         263      30.6636658          128031.062    
         264      30.9975719          127007.352    
         265      31.3351135          126149.258    
         266      31.6763306          125284.844    
         267      32.0212631          124420.531    
         268      32.3699532          123664.258    
         269      32.7224388          122900.547    
         270      33.0787621          122160.578    
         271      33.4389648          121524.039    
         272      33.8030930          120881.086    
