 # mass   0.511003971      MeV
 # Ekin   0.100000001      MeV
 # path    9.49258208E-02  um
 # mean dE/dx    751.205688      eV/um
 #         j   dE [eV]      dE*dE*dsig/ddE [eV*eV/cm]
 START
 209  17.0855846  4314332.50
 210  17.2716351  4291923.00
 211  17.4597111  4204306.00
 212  17.6498356  4063238.00
 213  17.8420296  3883227.50
 214  18.0363159  3678967.00
 215  18.2327194  3463410.25
 216  18.4312611  3246844.00
 217  18.6319637  3036778.25
 218  18.8348522  2838327.50
 219  19.0399513  2654929.25
 220  19.2472820  2489332.00
 221  19.4568710  2345667.00
 222  19.6687431  2252186.50
 223  19.8829212  2088255.75
 224  20.0994320  1799516.25
 225  20.3183002  1629861.62
 226  20.5395527  1478156.12
 227  20.7632141  1388253.62
 228  20.9893112  1300162.25
 229  21.2178707  1186399.25
 230  21.4489174  1071909.62
 231  21.6824818  994472.938
 232  21.9185886  927797.812
 233  22.1572666  874483.750
 234  22.3985443  828188.562
 235  22.6424484  787169.375
 236  22.8890095  749932.375
 237  23.1382542  716492.750
 238  23.3902130  686082.438
 239  23.6449165  658540.375
 240  23.9023933  633148.688
 241  24.1626740  610158.438
 242  24.4257889  588576.125
 243  24.6917686  568947.062
 244  24.9606438  550027.312
 245  25.2324467  532873.312
 246  25.5072098  516071.812
 247  25.7849655  504035.875
 248  26.0657463  492372.969
 249  26.3495846  482099.469
 250  26.6365128  472520.344
 251  26.9265652  463717.938
 252  27.2197762  455722.812
 253  27.5161800  448031.625
 254  27.8158112  441417.656
 255  28.1187057  435086.500
 256  28.4248981  429228.344
 257  28.7344246  423851.438
 258  29.0473213  418685.031
 259  29.3636265  413962.250
 260  29.6833763  409398.750
 261  30.0066071  404962.969
 262  30.3333569  401389.000
 263  30.6636658  397779.938
 264  30.9975719  394133.406
 265  31.3351135  391004.312
 266  31.6763306  387846.812
 267  32.0212631  384685.219
 268  32.3699532  381928.625
 269  32.7224388  379143.188
 270  33.0787621  376420.562
 271  33.4389648  373994.750
 272  33.8030930  371541.875
 273  34.1711845  369209.938
 274  34.5432854  367023.312
 275  34.9194374  364812.562
 276  35.2996864  362768.594
 277  35.6840744  360752.750
 278  36.0726471  358758.750
 279  36.4654541  356930.844
 280  36.8625374  355081.656
 281  37.2639427  353307.406
 282  37.6697197  351563.406
 283  38.0799179  349821.750
 284  38.4945831  348150.500
 285  38.9137611  346462.219
 286  39.3375053  344884.438
 287  39.7658615  343322.156
 288  40.1988831  341778.281
 289  40.6366196  340261.469
 290  41.0791245  338743.906
 291  41.5264473  337281.188
 292  41.9786415  335802.969
 293  42.4357605  334369.344
 294  42.8978577  332925.062
 295  43.3649864  331502.875
 296  43.8372002  330077.875
 297  44.3145561  328683.031
 298  44.7971115  327296.375
 299  45.2849197  325925.250
 300  45.7780418  324561.844
 301  46.2765312  323207.969
 302  46.7804489  321858.469
 303  47.2898560  320518.062
 304  47.8048096  319182.500
 305  48.3253708  317851.438
 306  48.8516006  316521.844
 307  49.3835602  315203.312
 308  49.9213104  313883.812
 309  50.4649200  312575.594
 310  51.0144463  311265.125
 311  51.5699577  309966.188
 312  52.1315193  308665.344
 313  52.6991959  307371.281
 314  53.2730522  306077.750
 315  53.8531570  304786.062
 316  54.4395790  303498.688
 317  55.0323868  302207.812
 318  55.6316490  300924.781
 319  56.2374382  299640.531
 320  56.8498230  298361.906
 321  57.4688759  297088.562
 322  58.0946693  295818.125
 323  58.7272797  294549.656
 324  59.3667793  293282.031
 325  60.0132408  292012.469
 326  60.6667442  290746.500
 327  61.3273621  289480.250
 328  61.9951744  288214.375
 329  62.6702576  286958.656
 330  63.3526917  285703.719
 331  64.0425568  284448.656
 332  64.7399368  283197.750
 333  65.4449081  281945.688
 334  66.1575546  280693.938
 335  66.8779602  279447.406
 336  67.6062164  278206.625
 337  68.3423996  276967.906
 338  69.0866013  275729.562
 339  69.8389053  274496.188
 340  70.5994034  273262.469
 341  71.3681793  272028.500
 342  72.1453247  270794.594
 343  72.9309387  269568.312
 344  73.7251053  268344.688
 345  74.5279160  267132.125
 346  75.3394699  265919.469
 347  76.1598663  264700.344
 348  76.9891968  263491.094
 349  77.8275528  262283.438
 350  78.6750412  261084.469
 351  79.5317535  259887.609
 352  80.3977966  258698.688
 353  81.2732697  257518.359
 354  82.1582794  256337.047
 355  83.0529251  255167.859
 356  83.9573135  254013.094
 357  84.8715515  252851.688
 358  85.7957458  251676.734
 359  86.7300034  250516.375
 360  87.6744308  249352.141
 361  88.6291428  248062.047
 362  89.5942535  246349.422
 363  90.5698700  244393.609
 364  91.5561142  242359.156
 365  92.5530930  240276.984
 366  93.5609283  238093.656
 367  94.5797424  235859.094
 368  95.6096497  232730.062
 369  96.6507721  228295.562
 370  97.7032318  222973.375
 371  98.7671509  217634.312
 372  99.8426590  121485.781
 373  100.929878  825979.438
 374  102.028931  791316.938
 375  103.139954  794838.250
 376  104.263077  791493.688
 377  105.398430  820215.375
 378  106.546143  881976.500
 379  107.706352  946073.375
 380  108.879196  1012398.44
 381  110.064812  963175.312
 382  111.263336  1147544.75
 383  112.474915  1300544.75
 384  113.699684  1399137.12
 385  114.937790  1458204.88
 386  116.189384  1501270.25
 387  117.454605  1528663.75
 388  118.733604  1549140.75
 389  120.026527  1564156.88
 390  121.333534  1575620.88
 391  122.654770  1587283.12
 392  123.990395  1599134.12
 393  125.340561  1611209.25
 394  126.705429  1623276.75
 395  128.085159  1635509.00
 396  129.479919  1649608.00
 397  130.889862  1664397.38
 398  132.315155  1679613.50
 399  133.755966  1695030.88
 400  135.212479  1709650.25
 401  136.684845  1722540.62
 402  138.173248  1733637.12
 403  139.677856  1744480.25
 404  141.198853  1755210.75
 405  142.736404  1765408.62
 406  144.290695  1778231.62
 407  145.861923  1804696.38
 408  147.450256  1833209.38
 409  149.055878  1883134.38
 410  150.678986  1930128.88
 411  152.319778  1956772.88
 412  153.978439  1982712.62
 413  155.655151  2004344.50
 414  157.350128  2019495.62
 415  159.063553  2022706.75
 416  160.795639  2022705.38
 417  162.546585  2021807.12
 418  164.316605  2019437.00
 419  166.105896  2015580.25
 420  167.914673  2010459.12
 421  169.743149  2003839.38
 422  171.591537  1998843.88
 423  173.460052  1993165.12
 424  175.348907  1986652.50
 425  177.258331  1981503.50
 426  179.188553  1974967.62
 427  181.139786  1968742.75
 428  183.112274  1962517.25
 429  185.106232  1955141.75
 430  187.121902  1949099.25
 431  189.159531  1941772.12
 432  191.219345  1933473.38
 433  193.301590  1923670.75
 434  195.406509  1913009.12
 435  197.534348  1903501.62
 436  199.685364  1892448.88
 437  201.859802  1882588.12
 438  204.057907  1871910.00
 439  206.279953  1861421.88
 440  208.526199  1850698.62
 441  210.796906  1842660.00
 442  213.092331  1840994.12
 443  215.412750  1838484.62
 444  217.758438  1835466.50
 445  220.129669  1831536.75
 446  222.526718  1827414.38
 447  224.949875  1822360.38
 448  227.399414  1818071.00
 449  229.875626  1812926.75
 450  232.378815  1808221.88
 451  234.909256  1802619.62
 452  237.467255  1797753.75
 453  240.053101  1792260.50
 454  242.667114  1787384.75
 455  245.309586  1781653.75
 456  247.980835  1775205.50
 457  250.681168  1768348.62
 458  253.410904  1761901.50
 459  256.170380  1755340.25
 460  258.959900  1748763.12
 461  261.779785  1741863.25
 462  264.630371  1734647.50
 463  267.511993  1727915.50
 464  270.425018  1720851.50
 465  273.369751  1714026.75
 466  276.346558  1706884.00
 467  279.355774  1699765.75
 468  282.397766  1692934.00
 469  285.472870  1685823.12
 470  288.581482  1678666.62
 471  291.723938  1671423.88
 472  294.900604  1664018.88
 473  298.111877  1657077.38
 474  301.358093  1646843.88
 475  304.639679  1632291.75
 476  307.957001  1618361.88
 477  311.310425  1604172.00
 478  314.700378  1589622.25
 479  318.127228  1575232.88
 480  321.591400  1560814.00
 481  325.093292  1546459.00
 482  328.633331  1532633.25
 483  332.211914  1518836.62
 484  335.829468  1505127.62
 485  339.486420  1491733.62
 486  343.183197  1478595.75
 487  346.920227  1465541.00
 488  350.697937  1452608.62
 489  354.516785  1439941.62
 490  358.377228  1427337.38
 491  362.279694  1414827.88
 492  366.224670  1402460.12
 493  370.212585  1390202.00
 494  374.243927  1378297.25
 495  378.319183  1366584.50
 496  382.438812  1354807.00
 497  386.603302  1343024.00
 498  390.813141  1331397.00
 499  395.068817  1319937.50
 500  399.370850  1308758.88
 501  403.719727  1297749.50
 502  408.115936  1286895.12
 503  412.560028  1276171.12
 504  417.052521  1265606.50
 505  421.593933  1255184.62
 506  426.184784  1244825.38
 507  430.825623  1234567.75
 508  435.516998  1224464.50
 509  440.259460  1214499.25
 510  445.053589  1204685.88
 511  449.899902  1194949.25
 512  454.798981  1185193.38
 513  459.751434  1175579.75
 514  464.757812  1166114.25
 515  469.818695  1156793.25
 516  474.934692  1147606.62
 517  480.106384  1138581.38
 518  485.334412  1129698.12
 519  490.619354  1120945.75
 520  495.961853  1112260.00
 521  501.362518  1103681.00
 522  506.821991  1095245.75
 523  512.340942  1086932.50
 524  517.919983  1078679.38
 525  523.559753  1070485.88
 526  529.260925  1062382.75
 527  535.024231  1054387.75
 528  540.850281  1046543.62
 529  546.739746  1038839.62
 530  552.693359  1031265.56
 531  558.711792  1023772.50
 532  564.795776  1016301.94
 533  570.945984  1008951.75
 534  577.163208  1001771.69
 535  583.448120  994668.688
 536  589.801453  987637.688
 537  596.223999  980728.875
 538  602.716431  974010.375
 539  609.279602  967289.875
 540  615.914246  960758.875
 541  622.621094  954221.188
 542  629.401001  947789.250
 543  636.254761  941557.875
 544  643.183105  935332.938
 545  650.186890  929123.688
 546  657.266968  923084.438
 547  664.424133  917092.312
 548  671.659241  911116.438
 549  678.973145  905225.062
 550  686.366699  899533.938
 551  693.840759  893869.250
 552  701.396179  888224.188
 553  709.033875  882666.875
 554  716.754761  877271.875
 555  724.559692  871911.438
 556  732.449646  866587.688
 557  740.425476  861381.875
 558  748.488159  856285.312
 559  756.638672  851235.875
 560  764.877930  846262.625
 561  773.206909  841381.688
 562  781.626587  836538.562
 563  790.137939  831757.688
 564  798.742004  827142.875
 565  807.439758  822567.875
 566  816.232178  818028.438
 567  825.120361  813524.375
 568  834.105347  809047.812
 569  843.188171  804597.562
 570  852.369873  800180.750
 571  861.651550  795923.938
 572  871.034302  791805.250
 573  880.519226  787719.875
 574  890.107483  783665.812
 575  899.800110  779645.250
 576  909.598267  775653.125
 577  919.503174  771687.125
 578  929.515930  767836.562
 579  939.637695  764106.938
 580  949.869690  760403.062
 581  960.213074  756724.625
 582  970.669128  753073.250
 583  981.239014  749448.562
 584  991.924011  745845.750
 585  1002.72534  742441.625
 586  1013.64429  739071.312
 587  1024.68213  735719.375
 588  1035.84021  732385.562
 589  1047.11975  729067.688
 590  1058.52209  725765.750
 591  1070.04871  722612.375
 592  1081.70081  719513.062
 593  1093.47974  716427.875
 594  1105.38696  713359.000
 595  1117.42383  710321.562
 596  1129.59180  707307.438
 597  1141.89221  704457.688
 598  1154.32666  701620.250
 599  1166.89648  698792.375
 600  1179.60315  695972.438
 601  1192.44824  693168.188
 602  1205.43311  690463.750
 603  1218.55945  687810.875
 604  1231.82874  685169.875
 605  1245.24243  682546.312
 606  1258.80225  679938.875
 607  1272.50977  677416.875
 608  1286.36646  674960.188
 609  1300.37402  672507.688
 610  1314.53418  670065.375
 611  1328.84851  667625.062
 612  1343.31873  665279.000
 613  1357.94653  662967.438
 614  1372.73364  660661.812
 615  1387.68176  658380.062
 616  1402.79260  656120.688
 617  1418.06799  653961.188
 618  1433.50977  651806.062
 619  1449.11963  649652.125
 620  1464.89954  647502.312
 621  1480.85120  645462.625
 622  1496.97656  643462.250
 623  1513.27759  641467.250
 624  1529.75610  639503.188
 625  1546.41406  637541.812
 626  1563.25342  635579.938
 627  1580.27612  633619.062
 628  1597.48425  631658.000
 629  1614.87976  629798.125
 630  1632.46460  628013.188
 631  1650.24097  626228.750
 632  1668.21094  624443.438
 633  1686.37659  622656.938
 634  1704.73999  620869.062
 635  1723.30334  619078.688
 636  1742.06885  617294.375
 637  1761.03870  615648.500
 638  1780.21521  614000.688
 639  1799.60046  612414.000
 640  1819.19678  610838.938
 641  1839.00659  1055594.00
 642  1859.03210  1048544.88
 643  1879.27563  1041584.62
 644  1899.73962  1034815.69
 645  1920.42639  1028121.31
 646  1941.33850  1021501.44
 647  1962.47827  1014953.00
 648  1983.84827  1008475.25
 649  2005.45093  1002066.19
 650  2027.28882  995798.625
 651  2049.36450  989637.812
 652  2071.68066  983567.812
 653  2094.23975  977575.250
 654  2117.04443  971645.625
 655  2140.09766  965779.188
 656  2163.40186  960034.688
 657  2186.95972  954390.500
 658  2210.77417  948806.000
 659  2234.84790  943280.438
 660  2259.18384  937813.188
 661  2283.78467  932400.875
 662  2308.65356  927128.250
 663  2333.79321  921924.125
 664  2359.20654  916807.438
 665  2384.89673  911744.062
 666  2410.86646  906719.375
 667  2437.11914  901801.750
 668  2463.65771  896969.438
 669  2490.48511  892188.875
 670  2517.60474  887447.750
 671  2545.01978  882773.312
 672  2572.73315  878155.938
 673  2600.74829  873655.312
 674  2629.06860  869191.375
 675  2657.69727  864807.000
 676  2686.63770  860447.062
 677  2715.89331  856176.375
 678  2745.46753  851975.438
 679  2775.36377  847786.062
 680  2805.58545  843669.688
 681  2836.13623  839585.875
 682  2867.01978  835620.250
 683  2898.23950  831741.500
 684  2929.79932  827867.875
 685  2961.70264  824059.000
 686  2993.95337  820286.438
 687  3026.55542  816529.062
 688  3059.51245  812829.625
 689  3092.82837  809157.750
 690  3126.50708  805572.750
 691  3160.55249  802065.938
 692  3194.96875  798591.312
 693  3229.75977  795129.000
 694  3264.92944  791714.812
 695  3300.48218  788345.688
 696  3336.42212  784971.562
 697  3372.75342  781638.688
 698  3409.48022  778423.500
 699  3446.60693  775263.625
 700  3484.13794  772117.312
 701  3522.07764  769010.062
 702  3560.43066  765937.875
 703  3599.20117  762896.438
 704  3638.39404  759856.750
 705  3678.01367  756903.562
 706  3718.06470  754003.812
 707  3758.55176  751135.875
 708  3799.47974  748294.875
 709  3840.85327  745457.250
 710  3882.67749  742647.750
 711  3924.95703  739873.688
 712  3967.69702  737171.062
 713  4010.90234  734500.000
 714  4054.57812  731851.562
 715  4098.72949  729221.250
 716  4143.36182  726602.188
 717  4188.47998  724004.938
 718  4234.08936  721509.438
 719  4280.19580  719050.125
 720  4326.80420  716611.438
 721  4373.91992  714191.438
 722  4421.54883  711790.188
 723  4469.69629  709406.188
 724  4518.36816  707042.750
 725  4567.56982  704707.625
 726  4617.30762  702388.375
 727  4667.58691  700084.375
 728  4718.41357  697795.188
 729  4769.79395  695489.562
 730  4821.73340  693180.625
 731  4874.23877  690945.250
 732  4927.31592  688804.188
 733  4980.97070  686688.500
 734  5035.20996  684586.562
 735  5090.04004  682499.125
 736  5145.46680  680423.938
 737  5201.49707  678361.312
 738  5258.13770  676303.875
 739  5315.39502  674259.688
 740  5373.27588  672227.688
 741  5431.78711  670207.250
 742  5490.93555  668199.688
 743  5550.72803  666203.000
 744  5611.17139  664287.938
 745  5672.27295  662420.812
 746  5734.04004  660565.750
 747  5796.47949  658701.688
 748  5859.59912  656884.500
 749  5923.40576  655077.188
 750  5987.90723  653282.938
 751  6053.11133  651474.625
 752  6119.02539  649691.500
 753  6185.65723  647920.500
 754  6253.01465  646174.500
 755  6321.10547  644486.188
 756  6389.93799  642822.062
 757  6459.52002  641164.125
 758  6529.85938  639510.938
 759  6600.96484  637870.500
 760  6672.84473  636227.688
 761  6745.50732  634598.312
 762  6818.96094  632969.875
 763  6893.21436  631351.312
 764  6968.27637  629772.000
 765  7044.15576  628221.562
 766  7120.86182  626675.625
 767  7198.40283  625142.688
 768  7276.78857  623593.625
 769  7356.02783  622075.688
 770  7436.12988  620562.938
 771  7517.10400  619057.125
 772  7598.95996  617626.688
 773  7681.70703  616165.250
 774  7765.35547  614717.000
 775  7849.91455  613280.062
 776  7935.39453  611849.062
 777  8021.80518  610429.812
 778  8109.15674  609021.312
 779  8197.45996  607620.875
 780  8286.72461  606227.938
 781  8376.96094  604844.125
 782  8468.17969  603469.438
 783  8560.39258  602102.500
 784  8653.60938  600744.188
 785  8747.84082  599377.375
 786  8843.09863  598033.062
 787  8939.39355  596694.875
 788  9036.73730  595365.062
 789  9135.14062  594041.125
 790  9234.61621  592723.000
 791  9335.17480  591412.125
 792  9436.82812  590106.688
 793  9539.58887  588806.938
 794  9643.46777  587513.438
 795  9748.47852  586224.562
 796  9854.63281  584940.312
 797  9961.94238  583660.188
 798  10070.4209  582385.500
 799  10180.0811  581115.375
 800  10290.9346  579849.812
 801  10402.9951  578588.500
 802  10516.2764  577318.000
 803  10630.7910  576063.500
 804  10746.5527  574813.250
 805  10863.5752  573565.625
 806  10981.8721  572321.562
 807  11101.4570  571080.750
 808  11222.3438  569841.500
 809  11344.5469  568605.750
 810  11468.0811  567372.062
 811  11592.9600  566140.500
 812  11719.1992  564911.375
 813  11846.8135  563685.188
 814  11975.8164  562459.250
 815  12106.2246  561236.312
 816  12238.0527  560014.125
 817  12371.3164  558793.312
 818  12506.0312  557574.250
 819  12642.2129  556347.812
 820  12779.8779  555130.750
 821  12919.0420  553915.125
 822  13059.7217  552700.125
 823  13201.9326  551485.750
 824  13345.6924  550272.250
 825  13491.0176  549058.562
 826  13637.9248  547846.062
 827  13786.4326  546633.500
 828  13936.5566  545421.375
 829  14088.3154  544209.250
 830  14241.7275  542997.688
 831  14396.8096  541785.250
 832  14553.5811  540573.375
 833  14712.0596  539361.375
 834  14872.2637  538149.375
 835  15034.2119  536936.812
 836  15197.9238  535718.062
 837  15363.4180  534504.750
 838  15530.7148  533292.000
 839  15699.8330  532078.938
 840  15870.7930  530865.250
 841  16043.6143  529651.500
 842  16218.3174  528437.375
 843  16394.9238  527222.750
 844  16573.4531  526007.875
 845  16753.9258  524792.812
 846  16936.3633  523577.719
 847  17120.7891  522362.469
 848  17307.2227  521147.969
 849  17495.6855  519932.469
 850  17686.2012  518717.312
 851  17878.7910  517502.469
 852  18073.4785  516283.219
 853  18270.2852  515069.719
 854  18469.2363  513856.531
 855  18670.3535  512643.719
 856  18873.6602  511432.469
 857  19079.1816  510222.031
 858  19286.9395  509013.125
 859  19496.9609  507805.688
 860  19709.2695  506600.000
